order_date,region,regional_manager,total_sales,total_profit,total_cogs,total_units,orders,profit_margin
2020-01-02,Central,Neelam Nilam,16.45,5.55,10.9,2,1,0.3374
2020-01-03,Central,Neelam Nilam,288.06,-65.99,354.05,8,3,-0.2291
2020-01-04,East,Rylee Sasa,19.54,4.88,14.65,3,1,0.2497
2020-01-05,South,Sam Abioye,4387.66,1348.72,3038.94,27,8,0.3074
2020-01-05,West,Sasha Ellington,19.44,9.33,10.11,3,1,0.4799
2020-01-06,Central,Neelam Nilam,87.16,-71.96,159.12,10,2,-0.8256
2020-01-08,Central,Neelam Nilam,40.54,10.92,29.63,5,2,0.2694
2020-01-09,South,Sam Abioye,54.83,22.66,32.17,2,2,0.4133
2020-01-10,East,Rylee Sasa,9.94,3.08,6.86,2,1,0.3099
2020-01-12,East,Rylee Sasa,40.85,10.57,30.28,9,2,0.2588
2020-01-12,South,Sam Abioye,1833.2,413.92,1419.28,26,6,0.2258
2020-01-12,West,Sasha Ellington,1679.75,249.15,1430.6,13,3,0.1483
2020-01-13,East,Rylee Sasa,61.96,-53.29,115.25,4,1,-0.8601
2020-01-14,South,Sam Abioye,149.95,65.98,83.97,5,1,0.44
2020-01-15,East,Rylee Sasa,299.96,-5.93,305.9,14,4,-0.0198
2020-01-17,West,Sasha Ellington,64.86,6.49,58.38,4,1,0.1001
2020-01-18,West,Sasha Ellington,378.59,-288.01,666.6,24,4,-0.7607
2020-01-19,Central,Neelam Nilam,708.62,183.55,525.07,26,8,0.259
2020-01-19,South,Sam Abioye,1926.59,385.73,1540.86,28,7,0.2002
2020-01-19,West,Sasha Ellington,38.66,15.08,23.58,4,2,0.3901
2020-01-20,South,Sam Abioye,25.25,4.1,21.15,3,1,0.1624
2020-01-22,Central,Neelam Nilam,5.94,0.0,5.94,3,1,0.0
2020-01-22,West,Sasha Ellington,40.08,19.24,20.84,6,1,0.48
2020-01-25,Central,Neelam Nilam,152.64,44.77,107.87,4,2,0.2933
2020-01-25,South,Sam Abioye,944.61,105.55,839.06,34,7,0.1117
2020-01-26,West,Sasha Ellington,426.67,9.69,416.98,8,3,0.0227
2020-01-27,East,Rylee Sasa,3.93,1.33,2.6,1,1,0.3384
2020-01-29,Central,Neelam Nilam,240.5,11.65,228.85,4,2,0.0484
2020-01-30,West,Sasha Ellington,290.67,3.42,287.25,2,1,0.0118
2020-01-31,Central,Neelam Nilam,468.9,206.32,262.58,6,1,0.44
2020-02-01,South,Sam Abioye,199.3,1.35,197.95,7,2,0.0068
2020-02-01,West,Sasha Ellington,12.35,5.8,6.55,5,1,0.4696
2020-02-02,West,Sasha Ellington,97.11,31.56,65.55,5,2,0.325
2020-02-03,West,Sasha Ellington,134.39,51.14,83.24,9,3,0.3805
2020-02-05,Central,Neelam Nilam,8.95,-14.77,23.72,2,1,-1.6503
2020-02-05,South,Sam Abioye,321.56,91.26,230.3,10,3,0.2838
2020-02-06,East,Rylee Sasa,180.32,59.34,120.98,11,2,0.3291
2020-02-07,West,Sasha Ellington,14.56,5.53,9.03,2,1,0.3798
2020-02-10,Central,Neelam Nilam,535.27,106.78,428.49,14,6,0.1995
2020-02-10,South,Sam Abioye,1508.13,186.74,1321.39,11,3,0.1238
2020-02-11,West,Sasha Ellington,129.57,-24.29,153.86,2,1,-0.1875
2020-02-13,Central,Neelam Nilam,16.18,6.07,10.11,3,1,0.3752
2020-02-13,West,Sasha Ellington,560.55,114.11,446.44,7,3,0.2036
2020-02-14,West,Sasha Ellington,21.36,7.21,14.15,5,1,0.3375
2020-02-15,Central,Neelam Nilam,9.04,-15.66,24.7,5,2,-1.7323
2020-02-16,Central,Neelam Nilam,54.21,8.81,45.4,14,1,0.1625
2020-02-17,Central,Neelam Nilam,37.78,-13.84,51.63,7,2,-0.3663
2020-02-19,Central,Neelam Nilam,82.63,29.34,53.29,7,2,0.3551
2020-02-19,West,Sasha Ellington,12.96,6.22,6.74,2,1,0.4799
2020-02-20,Central,Neelam Nilam,8.85,-13.72,22.57,5,1,-1.5503
2020-02-21,West,Sasha Ellington,19.44,9.33,10.11,3,1,0.4799
2020-02-22,Central,Neelam Nilam,11.37,-4.52,15.89,6,2,-0.3975
2020-02-23,West,Sasha Ellington,55.68,18.79,36.88,7,2,0.3375
2020-02-26,East,Rylee Sasa,19.46,3.4,16.05,4,1,0.1747
2020-02-28,Central,Neelam Nilam,1739.64,-262.04,2001.68,35,8,-0.1506
2020-02-28,East,Rylee Sasa,5.94,1.6,4.34,3,1,0.2694
2020-02-28,West,Sasha Ellington,457.57,51.48,406.09,2,1,0.1125
2020-02-29,East,Rylee Sasa,202.38,56.01,146.37,11,4,0.2768
2020-03-01,Central,Neelam Nilam,176.77,-459.61,636.38,3,1,-2.6
2020-03-01,East,Rylee Sasa,523.31,-150.11,673.42,25,6,-0.2868
2020-03-01,South,Sam Abioye,19.46,3.4,16.05,4,1,0.1747
2020-03-01,West,Sasha Ellington,626.35,-23.49,649.84,3,1,-0.0375
2020-03-02,South,Sam Abioye,370.45,20.07,350.38,8,2,0.0542
2020-03-03,East,Rylee Sasa,705.56,261.2,444.36,16,5,0.3702
2020-03-05,West,Sasha Ellington,1561.06,134.16,1426.91,27,8,0.0859
2020-03-08,Central,Neelam Nilam,22.38,10.74,11.64,2,1,0.4799
2020-03-08,West,Sasha Ellington,719.58,-6.55,726.13,7,2,-0.0091
2020-03-09,East,Rylee Sasa,127.7,53.0,74.7,25,3,0.415
